Event count,COPLNT_YR,COPLNT_MON,COPLNT_DAY,COPLNT_1R_DT,COPLNT_1R_TM,Crime type,age,race,sex,Zone,Latitude,Longitude,BORO_N0,PRE0_TYP_DESC,KY_CD,PD_CD
1,2013,1,2,01/02/2013,7,3,1,3,1,6,40.6836453,-73.98977605,BROOKLYN,RESIDENCE - PUBLIC HOUSING,344,101
2,2013,1,2,01/02/2013,7,4,2,1,0,4,40.77870307,-73.97971645,MANHATTAN,RESIDENCE - APT. HOUSE,109,405
1,2013,1,2,01/02/2013,6,4,1,1,1,3,40.798964,-73.95031372,MANHATTAN,RESIDENCE - PUBLIC HOUSING,352,205
1,2013,1,2,01/02/2013,6,4,1,3,1,6,40.686761,-73.99604235,BROOKLYN,STREET,105,397
1,2013,1,2,01/02/2013,6,4,1,1,1,4,40.76380068,-73.9737863,MANHATTAN,CLOTHING/BOUTIQUE,109,433
2,2013,1,2,01/02/2013,6,4,2,1,0,3,40.80339136,-73.93910943,MANHATTAN,RESIDENCE - PUBLIC HOUSING,352,205
1,2013,1,2,01/02/2013,6,3,3,1,1,4,40.78073918,-73.94473054,MANHATTAN,RESIDENCE - PUBLIC HOUSING,344,101
1,2013,1,2,01/02/2013,6,8,2,2,0,2,40.81856834,-73.92731395,BRONX,TRANSIT - NYC SUBWAY,363,799
1,2013,1,2,01/02/2013,6,3,3,1,1,3,40.81489035,-73.9612627,MANHATTAN,RESIDENCE - APT. HOUSE,106,109
1,2013,1,2,01/02/2013,6,4,2,3,1,4,40.74943967,-73.98692557,MANHATTAN,CLOTHING/BOUTIQUE,341,333
1,2013,1,2,01/02/2013,6,3,3,1,0,5,40.71718627,-73.98891235,MANHATTAN,RESIDENCE - PUBLIC HOUSING,344,101
1,2013,1,2,01/02/2013,6,4,2,1,1,6,40.68766922,-73.99077424,BROOKLYN,STREET,109,419
1,2013,1,2,01/02/2013,6,8,3,1,1,5,40.7180267,-73.99995816,MANHATTAN,CONSTRUCTION SITE,351,258
1,2013,1,2,01/02/2013,6,3,2,3,1,6,40.71171645,-73.99686328,MANHATTAN,RESIDENCE - PUBLIC HOUSING,106,109
1,2013,1,2,01/02/2013,6,4,2,1,1,5,40.73199197,-74.00342922,MANHATTAN,RESTAURANT/DINER,109,438
1,2013,1,2,01/02/2013,6,8,2,2,1,1,40.8712275,-73.91415294,MANHATTAN,PARKING LOT/GARAGE (PUBLIC),361,639
1,2013,1,2,01/02/2013,6,4,1,1,0,2,40.82065087,-73.92619526,BRONX,STREET,341,321
1,2013,1,2,01/02/2013,6,8,1,3,1,3,40.80033376,-73.9446023,MANHATTAN,RESIDENCE - PUBLIC HOUSING,361,639
1,2013,1,2,01/02/2013,6,6,3,1,0,4,40.78013353,-73.95303587,MANHATTAN,PARK/PLAYGROUND,235,508
1,2013,1,2,01/02/2013,6,4,1,3,0,4,40.75204466,-73.94272232,QUEENS,STREET,105,397
1,2013,1,2,01/02/2013,6,8,2,3,1,6,40.69255767,-73.9909719,BROOKLYN,TRANSIT - NYC SUBWAY,361,639
1,2013,1,2,01/02/2013,6,4,1,1,0,6,40.68566776,-73.98569051,BROOKLYN,STREET,105,397
1,2013,1,2,01/02/2013,6,4,3,1,1,5,40.73561761,-73.99266922,MANHATTAN,BANK,109,438
1,2013,1,2,01/02/2013,6,4,3,1,0,6,40.7140601,-73.99020065,MANHATTAN,TRANSIT - NYC SUBWAY,341,339
1,2013,1,2,01/02/2013,6,4,2,1,0,4,40.75043077,-73.98928218,MANHATTAN,CLOTHING/BOUTIQUE,341,333
1,2013,1,2,01/02/2013,6,8,3,1,0,6,40.68398609,-74.00153382,BROOKLYN,HIGHWAY/PARKWAY,348,916
1,2013,1,2,01/02/2013,6,8,2,1,1,3,40.80778062,-73.94548473,MANHATTAN,TRANSIT - NYC SUBWAY,359,750
1,2013,1,2,01/02/2013,6,4,2,3,1,2,40.84079512,-73.92319852,BRONX,STREET,105,386
1,2013,1,2,01/02/2013,6,8,2,1,0,5,40.73489554,-73.98995943,MANHATTAN,RESTAURANT/DINER,351,259
1,2013,1,2,01/02/2013,6,3,1,3,1,6,40.68406075,-73.97745929,BROOKLYN,STREET,344,101
1,2013,1,2,01/02/2013,6,2,2,3,1,2,40.82549764,-73.9512731,MANHATTAN,GROCERY/BODEGA,578,638
1,2013,1,2,01/02/2013,6,4,2,1,0,5,40.7474439,-73.98424807,MANHATTAN,STREET,341,321
1,2013,1,2,01/02/2013,6,2,3,1,1,4,40.7685239,-73.98713844,MANHATTAN,RESIDENCE - APT. HOUSE,578,638
1,2013,1,2,01/02/2013,6,8,2,3,0,5,40.74182566,-73.98627028,MANHATTAN,STREET,351,254
1,2013,1,2,01/02/2013,6,7,2,1,0,4,40.75346408,-73.99439974,MANHATTAN,PUBLIC BUILDING,340,707
1,2013,1,2,01/02/2013,6,6,1,3,1,3,40.80776038,-73.94334627,MANHATTAN,STREET,235,511
1,2013,1,2,01/02/2013,6,3,2,3,1,6,40.68848795,-73.97684841,BROOKLYN,RESIDENCE - APT. HOUSE,106,109
1,2013,1,2,01/02/2013,6,8,1,1,1,3,40.7867319,-73.94113247,MANHATTAN,RESIDENCE - APT. HOUSE,359,750
1,2013,1,2,01/02/2013,6,2,2,3,1,3,40.80445763,-73.94165138,MANHATTAN,STREET,578,637
1,2013,1,2,01/02/2013,6,2,3,3,1,6,40.7133002,-73.99817622,MANHATTAN,STREET,578,638
1,2013,1,2,01/02/2013,5,7,1,1,0,4,40.77365029,-73.95985695,MANHATTAN,TRANSIT - NYC SUBWAY,113,729
1,2013,1,2,01/02/2013,5,6,1,1,0,6,40.71164222,-73.99380809,MANHATTAN,PARK/PLAYGROUND,235,567
1,2013,1,2,01/02/2013,5,7,3,3,1,5,40.7264612,-73.99426852,MANHATTAN,RESIDENCE - APT. HOUSE,112,739
1,2013,1,2,01/02/2013,5,9,3,1,1,5,40.74601208,-73.99426323,MANHATTAN,STREET,126,198
1,2013,1,2,01/02/2013,5,2,1,3,1,2,40.82194375,-73.95251137,MANHATTAN,RESIDENCE - APT. HOUSE,578,637
1,2013,1,2,01/02/2013,5,4,1,3,0,3,40.80958939,-73.93994906,MANHATTAN,STREET,105,397
1,2013,1,2,01/02/2013,5,6,2,1,0,3,40.80575095,-73.94275558,MANHATTAN,STREET,235,567
1,2013,1,2,01/02/2013,5,3,1,3,0,6,40.69849966,-73.98656411,BROOKLYN,PUBLIC SCHOOL,344,101
1,2013,1,2,01/02/2013,5,4,2,1,1,3,40.7862719,-73.95591683,MANHATTAN,RESIDENCE-HOUSE,341,338
1,2013,1,2,01/02/2013,5,4,3,3,0,3,40.79506072,-73.97481775,MANHATTAN,STREET,341,339
3,2013,1,2,01/02/2013,5,4,3,1,0,4,40.75066421,-73.99086658,MANHATTAN,CLOTHING/BOUTIQUE,341,333
1,2013,1,2,01/02/2013,5,3,3,1,0,3,40.79882723,-73.96689202,MANHATTAN,STREET,344,101
4,2013,1,2,01/02/2013,5,4,2,1,1,4,40.75247977,-73.97952953,MANHATTAN,CHAIN STORE,341,333
1,2013,1,2,01/02/2013,5,2,3,1,1,3,40.79651172,-73.93659477,MANHATTAN,STREET,578,638
1,2013,1,2,01/02/2013,5,4,3,1,0,5,40.73283043,-73.98149123,MANHATTAN,HOSPITAL,341,338
1,2013,1,2,01/02/2013,5,9,3,3,0,4,40.76724286,-73.96453228,MANHATTAN,STREET,126,708
3,2013,1,2,01/02/2013,5,4,2,1,0,4,40.75382489,-73.98064441,MANHATTAN,CHAIN STORE,109,433
1,2013,1,2,01/02/2013,5,8,1,3,1,3,40.80177933,-73.96288127,MANHATTAN,RESIDENCE - APT. HOUSE,351,259
1,2013,1,2,01/02/2013,5,8,3,3,0,3,40.80177933,-73.96288127,MANHATTAN,RESIDENCE - APT. HOUSE,359,759
2,2013,1,2,01/02/2013,5,8,3,1,1,2,40.81948754,-73.92687939,BRONX,STREET,348,922
1,2013,1,2,01/02/2013,5,6,3,3,0,2,40.81948754,-73.92687939,BRONX,STREET,235,567
